season,week,team,attempts,carries,passing_yards,rushing_yards,receiving_yards,total_plays,pass_rate,total_yards,yards_per_play,pass_yards_per_play,rush_yards_per_play
2024,11,PHI,28,40,221.0,228.0,221.0,68,0.4117647058823529,670.0,9.852941176470589,7.892857142857143,5.7
2024,11,PIT,36,34,205.0,122.0,205.0,70,0.5142857142857142,532.0,7.6,5.694444444444445,3.588235294117647
2024,11,SEA,32,23,221.0,94.0,221.0,55,0.5818181818181818,536.0,9.745454545454546,6.90625,4.086956521739131
2024,11,SF,28,27,159.0,131.0,147.0,55,0.509090909090909,437.0,7.945454545454545,5.678571428571429,4.851851851851852
2024,11,TEN,31,19,295.0,33.0,295.0,50,0.62,623.0,12.46,9.516129032258064,1.736842105263158
2024,11,WAS,32,28,191.0,93.0,191.0,60,0.5333333333333333,475.0,7.916666666666667,5.96875,3.3214285714285716
2024,12,ARI,37,14,285.0,49.0,285.0,51,0.7254901960784313,619.0,12.137254901960784,7.702702702702703,3.5
2024,12,BAL,22,37,177.0,212.0,177.0,59,0.3728813559322034,566.0,9.59322033898305,8.045454545454545,5.72972972972973
2024,12,CAR,35,21,263.0,85.0,263.0,56,0.625,611.0,10.910714285714286,7.514285714285714,4.0476190476190474
2024,12,CHI,48,22,340.0,78.0,340.0,70,0.6857142857142857,758.0,10.82857142857143,7.083333333333333,3.5454545454545454
2024,12,CLE,27,27,219.0,85.0,219.0,54,0.5,523.0,9.685185185185185,8.11111111111111,3.1481481481481484
2024,12,DAL,32,28,247.0,91.0,237.0,60,0.5333333333333333,575.0,9.583333333333334,7.71875,3.25
2024,12,DEN,42,21,273.0,60.0,265.0,63,0.6666666666666666,598.0,9.492063492063492,6.5,2.857142857142857
2024,12,DET,36,33,269.0,137.0,269.0,69,0.5217391304347826,675.0,9.782608695652174,7.472222222222222,4.151515151515151
2024,12,GB,23,42,163.0,169.0,163.0,65,0.35384615384615387,495.0,7.615384615384615,7.086956521739131,4.023809523809524
2024,12,HOU,33,17,247.0,40.0,247.0,50,0.66,534.0,10.68,7.484848484848484,2.3529411764705883
2024,12,IND,28,21,172.0,96.0,172.0,49,0.5714285714285714,440.0,8.979591836734693,6.142857142857143,4.571428571428571
2024,12,KC,37,26,269.0,165.0,269.0,63,0.5873015873015873,703.0,11.158730158730158,7.27027027027027,6.346153846153846
2024,12,LA,36,18,243.0,92.0,243.0,54,0.6666666666666666,578.0,10.703703703703704,6.75,5.111111111111111
2024,12,LAC,36,20,218.0,83.0,218.0,56,0.6428571428571429,519.0,9.267857142857142,6.055555555555555,4.15
2024,12,LV,52,16,294.0,69.0,294.0,68,0.7647058823529411,657.0,9.661764705882353,5.653846153846154,4.3125
2024,12,MIA,40,24,317.0,65.0,317.0,64,0.625,699.0,10.921875,7.925,2.7083333333333335
2024,12,MIN,35,27,344.0,124.0,344.0,62,0.5645161290322581,812.0,13.096774193548388,9.82857142857143,4.592592592592593
2024,12,NE,38,21,222.0,86.0,222.0,59,0.6440677966101694,530.0,8.983050847457626,5.842105263157895,4.095238095238095
2024,12,NYG,32,20,192.0,76.0,192.0,52,0.6153846153846154,460.0,8.846153846153847,6.0,3.8
2024,12,PHI,22,45,179.0,314.0,179.0,67,0.3283582089552239,672.0,10.029850746268657,8.136363636363637,6.977777777777778
2024,12,PIT,29,34,270.0,120.0,270.0,63,0.4603174603174603,660.0,10.476190476190476,9.310344827586206,3.5294117647058822
2024,12,SEA,31,25,254.0,65.0,254.0,56,0.5535714285714286,573.0,10.232142857142858,8.193548387096774,2.6
2024,12,SF,29,16,199.0,44.0,185.0,45,0.6444444444444445,428.0,9.511111111111111,6.862068965517241,2.75
2024,12,TB,30,32,294.0,157.0,294.0,62,0.4838709677419355,745.0,12.016129032258064,9.8,4.90625
2024,12,TEN,25,33,278.0,132.0,278.0,58,0.43103448275862066,688.0,11.862068965517242,11.12,4.0
2024,12,WAS,38,25,275.0,145.0,275.0,63,0.6031746031746031,695.0,11.031746031746032,7.2368421052631575,5.8
2024,13,ARI,45,31,260.0,154.0,260.0,76,0.5921052631578947,674.0,8.868421052631579,5.777777777777778,4.967741935483871
2024,13,ATL,39,37,245.0,116.0,245.0,76,0.5131578947368421,606.0,7.973684210526316,6.282051282051282,3.135135135135135
2024,13,BAL,36,32,237.0,166.0,237.0,68,0.5294117647058824,640.0,9.411764705882353,6.583333333333333,5.1875
2024,13,BUF,18,38,152.0,220.0,145.0,56,0.32142857142857145,517.0,9.232142857142858,8.444444444444445,5.7894736842105265
2024,13,CAR,46,21,298.0,78.0,298.0,67,0.6865671641791045,674.0,10.059701492537313,6.478260869565218,3.7142857142857144
2024,13,CHI,39,15,256.0,78.0,256.0,54,0.7222222222222222,590.0,10.925925925925926,6.564102564102564,5.2
2024,13,CIN,38,15,309.0,93.0,309.0,53,0.7169811320754716,711.0,13.415094339622641,8.131578947368421,6.2
2024,13,CLE,58,23,497.0,77.0,497.0,81,0.7160493827160493,1071.0,13.222222222222221,8.568965517241379,3.347826086956522
2024,13,DAL,36,29,195.0,118.0,195.0,65,0.5538461538461539,508.0,7.815384615384615,5.416666666666667,4.068965517241379
2024,13,DEN,35,25,294.0,105.0,294.0,60,0.5833333333333334,693.0,11.55,8.4,4.2
2024,13,DET,34,33,221.0,194.0,221.0,67,0.5074626865671642,636.0,9.492537313432836,6.5,5.878787878787879
2024,13,GB,28,25,274.0,114.0,274.0,53,0.5283018867924528,662.0,12.49056603773585,9.785714285714286,4.56
2024,13,HOU,34,25,242.0,108.0,242.0,59,0.576271186440678,592.0,10.033898305084746,7.117647058823529,4.32
2024,13,IND,24,34,109.0,144.0,109.0,58,0.41379310344827586,362.0,6.241379310344827,4.541666666666667,4.235294117647059
2024,13,JAX,42,25,276.0,97.0,276.0,67,0.6268656716417911,649.0,9.686567164179104,6.571428571428571,3.88
2024,13,KC,46,16,306.0,63.0,306.0,62,0.7419354838709677,675.0,10.887096774193548,6.6521739130434785,3.9375
2024,13,LA,24,29,183.0,156.0,183.0,53,0.4528301886792453,522.0,9.849056603773585,7.625,5.379310344827586
2024,13,LAC,23,17,147.0,56.0,148.0,40,0.575,351.0,8.775,6.391304347826087,3.2941176470588234
2024,13,LV,35,25,340.0,116.0,340.0,60,0.5833333333333334,796.0,13.266666666666667,9.714285714285714,4.64
2024,13,MIA,46,14,365.0,39.0,350.0,60,0.7666666666666667,754.0,12.566666666666666,7.934782608695652,2.7857142857142856
2024,13,MIN,31,15,235.0,68.0,235.0,46,0.6739130434782609,538.0,11.695652173913043,7.580645161290323,4.533333333333333
2024,13,NE,30,31,238.0,200.0,238.0,61,0.4918032786885246,676.0,11.081967213114755,7.933333333333334,6.451612903225806
2024,13,NO,37,31,184.0,143.0,184.0,68,0.5441176470588235,511.0,7.514705882352941,4.972972972972973,4.612903225806452
2024,13,NYG,32,21,178.0,116.0,178.0,53,0.6037735849056604,472.0,8.90566037735849,5.5625,5.523809523809524
2024,13,NYJ,39,21,185.0,89.0,185.0,60,0.65,459.0,7.65,4.743589743589744,4.238095238095238
2024,13,PHI,19,33,118.0,140.0,118.0,52,0.36538461538461536,376.0,7.230769230769231,6.2105263157894735,4.242424242424242
2024,13,PIT,38,26,414.0,110.0,414.0,64,0.59375,938.0,14.65625,10.894736842105264,4.230769230769231
2024,13,SEA,31,23,206.0,84.0,206.0,54,0.5740740740740741,496.0,9.185185185185185,6.645161290322581,3.652173913043478
2024,13,SF,18,26,94.0,154.0,94.0,44,0.4090909090909091,342.0,7.7727272727272725,5.222222222222222,5.923076923076923
2024,13,TB,34,39,240.0,236.0,240.0,73,0.4657534246575342,716.0,9.808219178082192,7.0588235294117645,6.051282051282051
2024,13,TEN,37,11,212.0,35.0,212.0,48,0.7708333333333334,459.0,9.5625,5.72972972972973,3.1818181818181817
2024,13,WAS,30,45,206.0,267.0,206.0,75,0.4,679.0,9.053333333333333,6.866666666666666,5.933333333333334
2024,14,ARI,38,23,259.0,121.0,259.0,61,0.6229508196721312,639.0,10.475409836065573,6.815789473684211,5.260869565217392
